Step,Fidelity
1,0.24736380577087402
2,0.3219793438911438
3,0.3219793438911438
4,0.3805047273635864
5,0.41700661182403564
6,0.4797811508178711
7,0.4797811508178711
8,0.4797811508178711
9,0.5827767848968506
10,0.5827767848968506
11,0.6163867712020874
12,0.6163867712020874
13,0.6163867712020874
14,0.6163867712020874
15,0.6163867712020874
16,0.6280540227890015
17,0.7684255242347717
18,0.7684255242347717
19,0.7684255242347717
20,0.7684255242347717
21,0.7684255242347717
22,0.7684255242347717
23,0.7706360220909119
24,0.7706360220909119
25,0.7706360220909119
26,0.7883928418159485
27,0.7883928418159485
28,0.7883928418159485
29,0.7883928418159485
30,0.7883928418159485
31,0.7883928418159485
32,0.9063704609870911
33,0.9063704609870911
34,0.9063704609870911
35,0.9063704609870911
36,0.9063704609870911
37,0.9063704609870911
38,0.9063704609870911
39,0.9063704609870911
40,0.9063704609870911
41,0.9063704609870911
42,0.9063704609870911
43,0.9063704609870911
44,0.9514780044555664
45,0.95065343
46,0.9507281
47,0.9508788
48,0.9512343
49,0.95656234
50,0.9572304
51,0.9583554
52,0.9588839
53,0.9589384
54,0.9591474
55,0.9599788
56,0.960079
57,0.96045554
58,0.9613302
59,0.9615785
60,0.96830696
61,0.9687102
62,0.9688444
63,0.96914494
64,0.96929
65,0.96949255
66,0.96953857
67,0.9695681
68,0.96996003
69,0.97016317
70,0.97046226
71,0.9706089
72,0.9708652
73,0.9709957
74,0.9729136
75,0.9731687
76,0.973209
77,0.9733205
78,0.9734614
79,0.9736665
80,0.9763357
81,0.9787771
82,0.9788288
83,0.9788807
84,0.97905064
85,0.9795313
86,0.9796314
87,0.9798069
88,0.9802861
89,0.9803321
90,0.980538
91,0.9807039
92,0.98078036
93,0.9872989
94,0.9873667
95,0.9873895
96,0.98764324
97,0.9876546
98,0.98767525
99,0.98778224
100,0.9883043
101,0.9883271
102,0.98835045
103,0.9883824
104,0.98956734
105,0.9895723
106,0.9895989
107,0.98970336
108,0.98993033
109,0.9900669
110,0.99041057
111,0.99041057
112,0.9904113
113,0.99041873
114,0.990419
115,0.99045396
116,0.99045396
117,0.9904587
118,0.9904972
119,0.9906781
120,0.99067914
121,0.990679
122,0.9906795
123,0.9906806
124,0.9906813
125,0.99068236
126,0.99074847
127,0.99074847
128,0.9907953
129,0.99079746
130,0.99079746
131,0.99082536
132,0.99083006
133,0.99083006
134,0.990832
135,0.99086154
136,0.9909842
137,0.99098516
138,0.9909861
139,0.9909867
140,0.9909905
141,0.99117243
142,0.99125314
143,0.9912554
144,0.9912617
145,0.9912617
146,0.9912617
147,0.9912617
148,0.99127203
149,0.99127513
150,0.9912774
151,0.9912774
152,0.99128413
153,0.99128413
154,0.991289
155,0.9912916
156,0.99129647
157,0.9913009
158,0.9913011
159,0.99269193
160,0.99269193
161,0.99269336
162,0.9926929
163,0.9926929
164,0.99270153
165,0.9927074
166,0.9927746
167,0.99284494
168,0.9928464
169,0.9928469
170,0.9928517
171,0.9928586
172,0.9928658
173,0.9928676
174,0.99287045
175,0.9928835
176,0.9928835
177,0.9928852
178,0.99288493
179,0.9932341
180,0.9932346
181,0.9932346
182,0.99323434
183,0.9932543
184,0.9932563
185,0.99327815
186,0.9932907
187,0.9933029
188,0.99330443
189,0.9933158
190,0.9933272
191,0.9933292
192,0.9933302
193,0.9933561
194,0.9933561
195,0.99337727
196,0.993379
197,0.9934338
198,0.99343544
199,0.99347144
200,0.9934713
201,0.99347216
202,0.99347526
203,0.9934921
204,0.9935038
205,0.99368846
206,0.99368846
