Episodes,Best Fidelity
12,0.1372
24,0.2232
36,0.2232
48,0.2232
60,0.2232
72,0.2232
84,0.2232
96,0.5172
108,0.5172
120,0.5172
132,0.5172
144,0.5172
156,0.5172
168,0.5172
180,0.5172
192,0.5172
204,0.5172
216,0.5172
228,0.5172
240,0.5172
252,0.5172
264,0.5172
276,0.5172
288,0.5172
300,0.5172
312,0.5172
324,0.5172
336,0.5172
348,0.5172
360,0.5172
372,0.5172
384,0.5179
396,0.5179
408,0.5179
420,0.5179
432,0.6384
444,0.6384
456,0.6384
468,0.6384
480,0.6384
492,0.6384
504,0.6384
516,0.6384
528,0.6384
540,0.6384
552,0.6384
564,0.6384
576,0.6384
588,0.6384
600,0.6384
612,0.6384
624,0.6384
636,0.6384
648,0.6384
660,0.6384
672,0.6384
684,0.6384
696,0.6384
708,0.6384
720,0.6384
732,0.6384
744,0.6384
756,0.6384
768,0.6384
780,0.6384
792,0.6384
804,0.6384
816,0.6384
828,0.6384
840,0.6384
852,0.6384
864,0.6384
876,0.6384
888,0.6384
900,0.6384
912,0.6384
924,0.6384
936,0.6384
948,0.6384
960,0.6384
972,0.6384
984,0.6384
996,0.6384
1008,0.6384
1020,0.6384
1032,0.6384
1044,0.6384
1056,0.6384
1068,0.6384
1080,0.6384
1092,0.6384
1104,0.6384
1116,0.6384
1128,0.6384
1140,0.6384
1152,0.6384
1164,0.6384
1176,0.6384
1188,0.6384
1200,0.6384
1212,0.6384
1224,0.6384
1236,0.6384
1248,0.6384
1260,0.6384
1272,0.6384
1284,0.6384
1296,0.6384
1308,0.6384
1320,0.6384
1332,0.6384
1344,0.6384
1356,0.6384
1368,0.6384
1380,0.6384
1392,0.6384
1404,0.6384
1416,0.6384
1428,0.6384
1440,0.6384
1452,0.6384
1464,0.6384
1476,0.6384
1488,0.6384
1500,0.6384
1512,0.6384
1524,0.6384
1536,0.6384
1548,0.6384
1560,0.6384
1572,0.6384
1584,0.6384
1596,0.6384
1608,0.6384
1620,0.6384
1632,0.6384
1644,0.6384
1656,0.6384
1668,0.6384
1680,0.6384
1692,0.6384
1704,0.6384
1716,0.6384
1728,0.6384
1740,0.6384
1752,0.6384
1764,0.6384
1776,0.6384
1788,0.6384
1800,0.6384
1812,0.6384
1824,0.6384
1836,0.6384
1848,0.6384
1860,0.6384
1872,0.6384
1884,0.6384
1896,0.6384
1908,0.6384
1920,0.6384
1932,0.6384
1944,0.6384
1956,0.6384
1968,0.6384
1980,0.6384
1992,0.6384
2004,0.6384
2016,0.6384
2028,0.6384
2040,0.6384
2052,0.6384
2064,0.6384
2076,0.6384
2088,0.6384
2100,0.6384
2112,0.6384
2124,0.6384
2136,0.6384
2148,0.6384
2160,0.6384
2172,0.6384
2184,0.6384
2196,0.6384
